id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
22137,ven,82,-10.9153,14.2098,-12.7288,-11.0978,14.7767,-12.8015,23.40
22138,ven,82,-30.7270,-1.0513,-11.9584,-31.2818,-0.8230,-11.9670,23.40
22139,ven,82,29.9326,-16.4265,0.2996,30.5059,-16.4588,0.4735,29.48
22140,ven,82,29.5443,-4.3225,-9.8012,30.0171,-3.9875,-9.9569,23.40
22141,ven,81,13.1325,-18.2728,8.3551,13.0616,-18.0416,8.9042,42.52
22142,ven,82,-32.0553,-3.5897,-10.3196,-32.5688,-3.3557,-10.5233,23.40
22143,ven,81,9.2107,-19.6460,6.4580,8.7409,-19.8631,6.7616,23.40
22144,ven,82,-21.3969,9.0841,-9.6774,-21.6624,9.6166,-9.5998,64.56
22145,ven,82,25.3477,-17.9707,5.3540,25.6641,-17.6012,5.7052,23.40
22146,ven,82,-15.9903,-10.9547,9.2272,-15.9308,-10.5388,9.6556,62.44
22147,ven,82,-12.9170,-12.3803,9.8386,-12.7519,-11.8931,10.1474,23.40
22148,ven,82,29.0249,-3.3343,-10.4538,29.4509,-2.9125,-10.4289,23.40
22149,ven,82,-8.1466,-15.5224,6.2281,-7.5898,-15.5016,6.4506,56.40
22150,ven,82,-22.7476,-11.4824,7.8363,-22.9449,-11.0973,8.2520,23.40
22151,ven,82,-9.1424,14.8360,-8.5052,-9.2209,15.3997,-8.6952,23.40
22152,ven,81,-8.6423,5.2096,3.4034,-8.4939,4.6432,3.5345,154.89
22153,ven,82,-24.2749,-11.2260,6.5772,-23.8169,-10.9314,6.3254,33.75
22154,ven,82,25.3477,-17.9707,5.3540,25.1429,-18.4005,5.7191,29.48
22155,ven,82,-31.7664,-12.2369,-1.2991,-32.2180,-12.6306,-1.2659,23.40
22156,ven,83,-18.2167,11.1120,-10.0872,-18.3924,11.6829,-10.0309,57.71
22157,ven,83,0.3974,15.2519,-10.1951,0.2164,15.8230,-10.2276,23.40
22158,ven,83,21.7877,4.9190,-11.3065,22.0025,5.4774,-11.3519,42.52
22159,ven,83,31.6653,-9.6306,-8.1687,32.2575,-9.6642,-8.2596,88.45
22160,ven,83,-13.6234,-11.8933,10.6927,-13.4374,-11.4359,11.0335,61.33
22161,ven,82,10.1204,-16.2535,6.4361,9.6131,-15.9834,6.6084,23.40
22162,ven,83,-23.2316,8.3113,-9.8411,-23.6313,8.7583,-9.8210,74.29
22163,ven,83,-32.0584,-11.9193,-0.8820,-32.3911,-11.5609,-0.5344,123.78
22164,ven,83,30.4028,-5.0478,-8.6415,30.9202,-4.7881,-8.7990,23.40
22165,ven,83,18.6840,7.5333,-13.7051,19.1935,7.8493,-13.7284,23.40
22166,ven,83,24.8943,1.8022,-7.8347,25.4078,2.1078,-7.8883,23.40
22167,ven,82,12.3724,-15.3094,6.9709,12.4384,-14.7765,7.2387,62.44
22168,ven,82,-30.2061,-17.7792,5.7523,-30.7393,-17.6033,5.9640,23.40
22169,ven,83,-10.9934,-12.6242,9.2536,-10.6703,-12.2241,9.5627,80.69
22170,ven,83,17.1815,8.0207,-8.1419,17.5861,8.4541,-8.0499,104.48
22171,ven,83,-15.2398,-11.2871,10.4916,-15.2130,-10.8226,10.8704,23.40
22172,ven,82,11.0020,-15.4538,6.6075,10.6384,-15.1922,7.0068,23.40
22173,ven,83,22.9289,4.3069,-10.7368,23.1334,4.8642,-10.8235,50.41
22174,ven,82,17.4935,-15.0168,6.2273,17.5648,-14.4892,6.5040,23.40
22175,ven,82,-24.6566,-12.6278,3.0771,-24.9788,-12.1489,3.2411,69.32
22176,ven,83,12.6414,11.0183,-8.6874,12.4612,11.5869,-8.7517,23.40
22177,ven,83,9.3628,13.2926,-10.0111,9.6598,13.8129,-9.9798,23.40
22178,ven,83,-7.3582,15.4140,-10.1049,-7.4778,16.0020,-10.1129,23.40
22179,ven,83,-20.3909,-10.2733,8.0294,-20.7736,-9.8833,8.2773,23.40
22180,ven,83,26.0907,1.3616,-10.6444,26.6057,1.6523,-10.7457,29.48
22181,ven,83,-18.5320,-10.1163,8.8672,-18.5222,-9.6089,9.1871,67.50
22182,ven,83,26.9388,-2.3883,-3.4189,27.2496,-2.0067,-3.0756,23.40
22183,ven,83,23.4761,3.8029,-9.3722,23.7067,4.2270,-9.0160,61.33
22184,ven,83,-33.0213,-4.8586,-8.9595,-33.5945,-4.6860,-9.0006,23.40
22185,ven,83,16.3325,9.8983,-12.1877,16.7265,10.3481,-12.1381,52.04
22186,ven,83,25.5507,1.2021,-7.7030,25.9616,1.6390,-7.7180,23.40
22187,ven,82,16.2899,-15.4247,7.1799,16.2660,-14.9560,7.5538,23.40
22188,ven,83,-9.4549,15.2952,-7.7111,-9.7775,15.6971,-7.4039,23.40
22189,ven,83,25.6903,2.0115,-11.4564,26.0880,2.4506,-11.5514,23.40
22190,ven,83,21.1513,4.8718,-10.1563,21.2114,5.4656,-10.2174,23.40
22191,ven,83,4.0750,15.1524,-9.6547,4.2135,15.7323,-9.5877,29.48
22192,ven,83,31.3268,-16.6985,-2.9234,31.8672,-16.6659,-2.6648,29.48
22193,ven,83,12.7389,11.5517,-12.4243,12.8382,12.1430,-12.4475,23.40
22194,ven,83,25.6489,2.0846,-8.9568,26.1254,2.4360,-9.0544,62.44
22195,ven,83,9.4580,12.8470,-9.1877,9.7346,13.2522,-8.8423,65.57
22196,ven,82,18.2327,-15.4455,6.1973,18.6442,-15.0220,6.3040,107.52
22197,ven,82,0.1991,11.0860,-5.2954,-0.1457,10.9508,-4.8234,23.40
