id,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm
55,-8.8226,-22.2558,-0.6539,-11.1406,-22.352,1.9633,500.0,3.497
56,21.6384,12.67,-5.3962,23.7892,16.7521,-10.0264,385.6,6.537
57,21.6384,12.67,-5.3962,36.6073,12.3863,1.871,370.11,16.642
58,21.6384,12.67,-5.3962,19.3044,13.6501,-9.0881,421.72,4.476
59,36.6073,12.3863,1.871,35.8736,10.2499,2.6078,318.51,2.376
60,-14.8974,5.1655,-8.9992,-15.1205,4.9635,-4.9568,267.42,4.054
61,-14.8974,5.1655,-8.9992,-1.9738,4.5031,14.5593,285.06,26.879
62,-14.8013,4.9442,-15.5758,-14.8408,4.6178,-19.4242,266.25,3.862
63,-14.8013,4.9442,-15.5758,-22.5241,-16.8194,-15.0293,285.92,23.1
64,-14.8013,4.9442,-15.5758,-21.5923,0.104,-16.5111,308.72,8.392
65,-26.939,15.056,15.4402,-38.4971,11.7711,11.9961,285.9,12.5
66,-26.939,15.056,15.4402,-26.939,15.056,15.4402,286.59,0.0
67,-26.939,15.056,15.4402,-30.8162,14.2253,14.539,319.17,4.066
68,-21.5923,0.104,-16.5111,-25.5684,-2.73,-17.0587,279.26,4.913
69,-21.5923,0.104,-16.5111,-21.5923,0.104,-16.5111,274.4,0.0
70,-21.5923,0.104,-16.5111,-21.5964,2.1857,-18.6674,308.72,2.997
71,-21.5923,0.104,-16.5111,-22.9675,0.0042,-13.6449,308.72,3.181
72,9.8062,10.8246,-19.0688,11.724,7.4572,-20.916,352.99,4.293
73,9.8062,10.8246,-19.0688,9.8062,10.8246,-19.0688,345.87,0.0
74,9.8062,10.8246,-19.0688,11.8007,6.0632,-18.9493,389.71,5.164
75,9.8062,10.8246,-19.0688,6.7555,8.7375,-19.7232,389.71,3.754
76,43.1256,0.2035,-0.7786,41.8199,0.6261,0.0697,272.28,1.613
77,43.1256,0.2035,-0.7786,49.049,3.509,-3.8749,292.43,7.457
78,43.1256,0.2035,-0.7786,40.9903,-1.3557,2.9291,315.73,4.554
79,28.2893,-8.4931,6.9116,23.0955,-7.2984,6.0861,202.34,5.393
80,28.2893,-8.4931,6.9116,25.4705,-18.133,-0.6997,217.24,12.602
81,47.4315,-2.4537,-3.9557,49.6391,-4.8235,-5.8872,291.11,3.771
82,47.4315,-2.4537,-3.9557,41.291,-6.701,-13.175,274.06,11.863
83,41.291,-6.701,-13.175,37.7672,-8.7855,-14.4167,232.39,4.278
84,-11.1406,-22.352,1.9633,-12.591,-22.4122,3.6009,435.98,2.188
85,-11.1406,-22.352,1.9633,-11.1406,-22.352,1.9633,459.48,0.0
86,-11.1406,-22.352,1.9633,-15.5523,-22.2787,5.291,500.0,5.527
87,-11.113,8.7212,-1.5895,-12.6892,6.9475,0.1443,285.21,2.939
88,-11.113,8.7212,-1.5895,-16.8638,-1.5721,-0.993,267.23,11.806
89,-11.113,8.7212,-1.5895,-11.2529,8.1649,-1.8162,308.72,0.617
90,-16.8638,-1.5721,-0.993,-27.6157,-1.0717,-1.0955,225.74,10.764
91,5.7088,-6.778,1.2488,-0.747,-9.4529,6.1364,341.59,8.528
92,5.7088,-6.778,1.2488,13.154,-18.244,3.91,317.17,13.928
93,13.154,-18.244,3.91,13.6363,-18.1596,5.4387,265.94,1.605
94,37.7672,-8.7855,-14.4167,35.535,-10.1059,-15.2033,204.8,2.71
95,37.7672,-8.7855,-14.4167,20.1044,-22.8205,-12.8896,211.78,22.612
96,37.7672,-8.7855,-14.4167,35.3667,-9.4788,-14.4189,232.39,2.499
97,20.1044,-22.8205,-12.8896,17.3713,-20.3621,-10.1835,191.16,4.565
98,2.0784,19.485,2.387,5.7483,24.0757,9.0174,275.86,8.86
99,2.0784,19.485,2.387,-10.2682,20.3986,11.7811,277.87,15.541
100,2.0784,19.485,2.387,4.2585,21.0752,2.7452,308.72,2.722
101,-10.2682,20.3986,11.7811,-14.1859,16.8033,9.1885,247.03,5.916
102,-21.5964,2.1857,-18.6674,-21.602,5.014,-21.597,271.76,4.072
103,-21.5964,2.1857,-18.6674,-21.5964,2.1857,-18.6674,281.6,0.0
104,-21.5964,2.1857,-18.6674,-25.5872,4.7475,-18.8939,308.72,4.748
105,-27.6157,-1.0717,-1.0955,-40.6992,-0.4628,-1.2203,204.64,13.098
106,-27.6157,-1.0717,-1.0955,-19.1923,1.19,7.6085,200.16,12.322
107,-27.6157,-1.0717,-1.0955,-34.9644,-9.7226,-2.4959,225.74,11.437
108,-19.1923,1.19,7.6085,-18.3955,1.0964,8.6687,174.57,1.33
109,-15.5523,-22.2787,5.291,-19.7731,-22.2085,8.4747,456.58,5.287
110,-15.5523,-22.2787,5.291,-24.889,-5.2682,14.9747,439.54,21.686
111,-15.5523,-22.2787,5.291,-13.0305,-16.5971,11.0748,500.0,8.491
112,-15.5523,-22.2787,5.291,-17.5991,-23.3594,5.2084,500.0,2.316
