ix,iy,iz,x_cm,y_cm,z_cm,prioridad
22,17,4,0.111864406779661,0.08644067796610169,0.020512820512820513,CRITICA
22,17,6,0.111864406779661,0.08644067796610169,0.03076923076923077,CRITICA
22,18,0,0.111864406779661,0.09152542372881356,0.0,CRITICA
22,18,1,0.111864406779661,0.09152542372881356,0.005128205128205128,CRITICA
22,18,3,0.111864406779661,0.09152542372881356,0.015384615384615385,CRITICA
23,9,13,0.11694915254237287,0.04576271186440678,0.06666666666666667,CRITICA
23,11,21,0.11694915254237287,0.0559322033898305,0.1076923076923077,CRITICA
23,12,20,0.11694915254237287,0.06101694915254237,0.10256410256410256,CRITICA
23,15,7,0.11694915254237287,0.07627118644067796,0.035897435897435895,CRITICA
23,16,4,0.11694915254237287,0.08135593220338982,0.020512820512820513,CRITICA
23,16,6,0.11694915254237287,0.08135593220338982,0.03076923076923077,CRITICA
23,17,3,0.11694915254237287,0.08644067796610169,0.015384615384615385,CRITICA
23,17,5,0.11694915254237287,0.08644067796610169,0.02564102564102564,CRITICA
23,18,2,0.11694915254237287,0.09152542372881356,0.010256410256410256,CRITICA
23,18,4,0.11694915254237287,0.09152542372881356,0.020512820512820513,CRITICA
23,19,0,0.11694915254237287,0.09661016949152541,0.0,CRITICA
23,19,1,0.11694915254237287,0.09661016949152541,0.005128205128205128,CRITICA
23,19,3,0.11694915254237287,0.09661016949152541,0.015384615384615385,CRITICA
23,20,2,0.11694915254237287,0.10169491525423728,0.010256410256410256,CRITICA
23,21,0,0.11694915254237287,0.10677966101694915,0.0,CRITICA
23,21,1,0.11694915254237287,0.10677966101694915,0.005128205128205128,CRITICA
24,7,12,0.12203389830508474,0.035593220338983045,0.06153846153846154,CRITICA
24,10,13,0.12203389830508474,0.05084745762711864,0.06666666666666667,CRITICA
24,10,21,0.12203389830508474,0.05084745762711864,0.1076923076923077,CRITICA
24,11,20,0.12203389830508474,0.0559322033898305,0.10256410256410256,CRITICA
24,11,22,0.12203389830508474,0.0559322033898305,0.11282051282051282,CRITICA
24,12,13,0.12203389830508474,0.06101694915254237,0.06666666666666667,CRITICA
24,12,19,0.12203389830508474,0.06101694915254237,0.09743589743589744,CRITICA
24,12,23,0.12203389830508474,0.06101694915254237,0.11794871794871795,CRITICA
24,16,5,0.12203389830508474,0.08135593220338982,0.02564102564102564,CRITICA
24,17,4,0.12203389830508474,0.08644067796610169,0.020512820512820513,CRITICA
24,18,3,0.12203389830508474,0.09152542372881356,0.015384615384615385,CRITICA
24,19,2,0.12203389830508474,0.09661016949152541,0.010256410256410256,CRITICA
24,20,0,0.12203389830508474,0.10169491525423728,0.0,CRITICA
24,20,1,0.12203389830508474,0.10169491525423728,0.005128205128205128,CRITICA
24,21,2,0.12203389830508474,0.10677966101694915,0.010256410256410256,CRITICA
24,26,11,0.12203389830508474,0.13220338983050847,0.05641025641025641,CRITICA
24,27,10,0.12203389830508474,0.13728813559322034,0.05128205128205128,CRITICA
24,28,11,0.12203389830508474,0.14237288135593218,0.05641025641025641,CRITICA
24,31,28,0.12203389830508474,0.15762711864406778,0.14358974358974358,CRITICA
25,9,13,0.1271186440677966,0.04576271186440678,0.06666666666666667,CRITICA
25,10,20,0.1271186440677966,0.05084745762711864,0.10256410256410256,CRITICA
25,10,22,0.1271186440677966,0.05084745762711864,0.11282051282051282,CRITICA
25,11,13,0.1271186440677966,0.0559322033898305,0.06666666666666667,CRITICA
25,11,21,0.1271186440677966,0.0559322033898305,0.1076923076923077,CRITICA
25,11,23,0.1271186440677966,0.0559322033898305,0.11794871794871795,CRITICA
25,12,20,0.1271186440677966,0.06101694915254237,0.10256410256410256,CRITICA
25,14,27,0.1271186440677966,0.07118644067796609,0.13846153846153847,CRITICA
25,15,26,0.1271186440677966,0.07627118644067796,0.13333333333333333,CRITICA
25,16,27,0.1271186440677966,0.08135593220338982,0.13846153846153847,CRITICA
25,19,0,0.1271186440677966,0.09661016949152541,0.0,CRITICA
25,19,1,0.1271186440677966,0.09661016949152541,0.005128205128205128,CRITICA
25,19,3,0.1271186440677966,0.09661016949152541,0.015384615384615385,CRITICA
25,20,2,0.1271186440677966,0.10169491525423728,0.010256410256410256,CRITICA
25,24,18,0.1271186440677966,0.12203389830508474,0.09230769230769231,CRITICA
25,26,12,0.1271186440677966,0.13220338983050847,0.06153846153846154,CRITICA
25,26,18,0.1271186440677966,0.13220338983050847,0.09230769230769231,CRITICA
25,27,11,0.1271186440677966,0.13728813559322034,0.05641025641025641,CRITICA
25,29,27,0.1271186440677966,0.14745762711864405,0.13846153846153847,CRITICA
25,30,28,0.1271186440677966,0.15254237288135591,0.14358974358974358,CRITICA
25,31,27,0.1271186440677966,0.15762711864406778,0.13846153846153847,CRITICA
