id,x1,y1,z1,x2,y2,z2,radio_um,longitud_mm,reynolds
59,0.08148315088422203,49.75807562612839,49.75807562612839,-50.0,50.0,19.42626759963898,98.13,58.551,4.64
60,0.08148315088422203,49.75807562612839,49.75807562612839,-50.0,30.24040653092685,50.0,92.7,53.751,4.26
61,49.89882928442964,49.882556349077475,49.882556349077475,50.0,50.0,50.0,97.27,0.194,1361.69
62,49.89882928442964,49.882556349077475,49.882556349077475,50.0,50.0,50.0,87.74,0.194,999.25
63,49.646728779988685,41.34896015604813,49.58990641105896,32.7056781610222,-50.0,50.0,158.42,92.907,12.31
64,49.646728779988685,41.34896015604813,49.58990641105896,50.0,2.7810096451268347,50.0,146.21,38.572,23.32
65,-14.501572638251595,49.09896702348915,49.341528336455234,-50.0,-8.650775822324638,2.118565005765828,124.43,82.615,6.71
66,-14.501572638251595,49.09896702348915,49.341528336455234,-50.0,50.0,50.0,142.92,35.516,23.65
67,49.87980772460815,49.86047524172262,49.86047524172262,50.0,50.0,50.0,108.2,0.231,1577.48
68,49.87980772460815,49.86047524172262,49.86047524172262,50.0,50.0,50.0,103.85,0.231,1394.63
69,49.84256006554267,49.81723643448175,49.81723643448175,50.0,50.0,50.0,110.79,0.303,1292.92
70,49.84256006554267,49.81723643448175,49.81723643448175,50.0,37.064752300264885,50.0,132.14,12.755,52.05
71,49.97435841165263,49.97023405701947,49.97023405701947,50.0,50.0,48.99817513446776,84.2,0.973,176.56
72,49.97435841165263,49.97023405701947,49.97023405701947,50.0,40.8822842567729,50.0,87.49,9.088,21.2
73,-31.107633965582753,22.08380487102264,27.2507630995494,-8.87052281060586,-50.0,-50.0,93.68,107.973,2.19
74,-31.107633965582753,22.08380487102264,27.2507630995494,-50.0,-26.547759772660587,-6.547276252968088,103.37,62.163,5.11
75,47.554667463135964,0.18369726048179935,47.16134477027381,-2.639423809334303,-50.0,50.0,187.19,71.035,26.57
76,47.554667463135964,0.18369726048179935,47.16134477027381,50.0,-50.0,50.0,176.03,50.323,31.18
77,49.95384556146183,49.94642179075592,49.94642179075592,50.0,50.0,50.0,73.21,0.089,1272.58
78,49.95384556146183,49.94642179075592,49.94642179075592,50.0,50.0,50.0,65.65,0.089,917.77
79,17.4077690860837,-29.95695840522332,48.866259603246974,-50.0,-50.0,-47.301216287468264,149.02,119.137,7.99
80,17.4077690860837,-29.95695840522332,48.866259603246974,-32.04797617811672,-50.0,50.0,148.12,53.375,17.52
81,48.90017056363435,-27.429038120303254,48.723267067247235,9.921155513182546,-50.0,30.79679410203044,133.39,48.479,14.09
82,48.90017056363435,-27.429038120303254,48.723267067247235,50.0,-50.0,50.0,145.5,22.634,39.16
83,49.816959323143216,-48.764437433776514,-49.78751790736876,50.0,-50.0,-50.0,71.88,1.267,84.34
84,49.816959323143216,-48.764437433776514,-49.78751790736876,25.37799661201218,-50.0,-50.0,80.64,24.471,6.16
85,25.252629245637173,-48.838889161945374,-48.838889161945374,-50.0,-19.563626556601587,-50.0,141.65,80.755,10.13
86,25.252629245637173,-48.838889161945374,-48.838889161945374,-50.0,-50.0,-22.440327155737982,139.98,79.757,9.89
87,49.97300423173672,-49.96866206227341,-49.96866206227341,50.0,-50.0,-50.0,75.23,0.052,2360.15
88,49.97300423173672,-49.96866206227341,-49.96866206227341,47.14750505952389,-50.0,-50.0,73.61,2.826,40.61
89,49.980411528659886,49.97726079550585,49.97726079550585,50.0,50.0,50.0,48.71,0.038,883.01
90,49.980411528659886,49.97726079550585,49.97726079550585,50.0,50.0,50.0,55.12,0.038,1279.46
