id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um,longitud_mm,presion_entrada,presion_salida,es_terminal
822,art,7,-20.2515,-4.2972,-14.5183,-18.2465,-4.4621,-16.8837,92.14,3.1052,64.42,62.04,1
823,art,7,-20.2515,-4.2972,-14.5183,-19.8675,-4.5818,-16.6387,91.87,2.1736,64.42,62.75,1
824,art,9,-19.6696,-13.7453,-2.984,-22.06,-15.4847,-2.2973,76.83,3.035,47.22,44.43,1
825,art,9,-19.6696,-13.7453,-2.984,-21.7449,-13.5998,-3.4144,76.06,2.1245,47.22,45.25,0
826,art,9,16.1386,8.2633,0.2554,16.7132,6.1517,-2.1402,94.38,3.2448,65.53,63.1,1
827,art,9,16.1386,8.2633,0.2554,15.2623,8.1237,-1.8354,86.35,2.2713,65.53,63.67,1
828,art,6,-14.7712,-14.2954,-9.8213,-12.6086,-15.6234,-11.7176,115.4,3.168,66.83,64.89,1
829,art,6,-14.7712,-14.2954,-9.8213,-14.0997,-16.1277,-10.8745,114.47,2.2176,66.83,65.46,1
830,art,8,1.7848,-15.2768,-2.9067,3.3468,-16.1057,-0.2951,120.75,3.1539,45.05,43.2,1
831,art,8,1.7848,-15.2768,-2.9067,2.0301,-17.1837,-1.8215,129.8,2.2078,45.05,43.84,1
832,art,8,1.1534,-12.9582,-3.7921,-0.3693,-14.5175,-2.0615,104.52,2.783,45.5,43.62,1
833,art,8,1.1534,-12.9582,-3.7921,1.4766,-13.9849,-2.1684,111.03,1.9481,45.5,44.26,1
834,art,10,-25.898,11.4045,-8.5254,-28.489,12.2604,-10.3955,53.69,3.308,47.34,43.0,1
835,art,10,-25.898,11.4045,-8.5254,-27.0287,12.7639,-10.0206,57.4,2.3156,47.34,44.48,1
836,art,8,10.1948,6.9437,-8.5056,8.0691,8.8668,-10.3133,98.01,3.3889,61.21,58.76,1
837,art,8,10.1948,6.9437,-8.5056,7.9082,7.5585,-8.6511,102.07,2.3722,61.21,59.56,1
838,art,8,10.1948,6.9437,-8.5056,10.1902,5.0662,-10.9145,103.57,3.0541,61.21,59.12,1
839,art,8,10.1948,6.9437,-8.5056,11.1538,5.1055,-9.0269,96.07,2.1379,61.21,59.63,1
840,art,9,-8.737,0.6297,20.1155,-11.7603,1.794,20.528,86.36,3.266,43.57,43.0,1
841,art,9,-8.737,0.6297,20.1155,-9.8419,2.6119,20.3923,84.98,2.2862,43.57,43.0,1
842,art,9,1.449,-13.9067,11.1474,-1.7112,-14.7777,11.9228,56.05,3.3685,47.3,43.05,1
843,art,9,1.449,-13.9067,11.1474,-0.2149,-15.447,11.7945,54.98,2.3579,47.3,44.27,1
844,art,9,-1.3565,9.1618,-7.0334,0.9146,8.3925,-8.3665,62.37,2.7435,37.88,43.0,1
845,art,9,-1.3565,9.1618,-7.0334,0.1185,7.9713,-6.7245,64.48,1.9205,37.88,43.0,1
846,art,9,-2.8983,7.5775,-8.0713,-2.9937,9.1118,-10.4637,50.82,2.8437,38.74,43.0,1
847,art,9,-2.8983,7.5775,-8.0713,-3.2306,7.5155,-10.033,55.26,1.9906,38.74,43.0,1
848,art,8,-25.0515,-6.1051,-3.2465,-26.0992,-7.1854,-5.8663,88.12,3.0213,50.03,47.6,1
849,art,8,-25.0515,-6.1051,-3.2465,-24.4219,-7.6093,-4.5933,95.55,2.1149,50.03,48.47,1
850,art,8,-24.1098,-5.2417,-1.9828,-25.8278,-7.0502,-0.4246,114.16,2.9411,50.81,48.98,1
851,art,8,-24.1098,-5.2417,-1.9828,-26.087,-5.8111,-2.0546,109.19,2.0587,50.81,49.47,1
852,art,8,-38.1141,9.2341,-4.772,-37.6131,6.7362,-3.666,119.52,2.7774,61.8,60.15,1
853,art,8,-38.1141,9.2341,-4.772,-39.0221,7.7374,-3.9263,119.12,1.9442,61.8,60.64,1
