id,sistema,nivel,x1_mm,y1_mm,z1_mm,x2_mm,y2_mm,z2_mm,radio_um
639,ven,7,-8.0879,-26.0499,3.2091,-3.5704,-26.4654,2.4553,127.14
640,ven,7,18.1699,3.7978,4.6659,12.5669,7.9094,3.4929,133.28
641,ven,7,18.1699,3.7978,4.6659,16.2878,6.9479,-0.3047,129.53
642,ven,7,-5.7549,-1.2941,0.62,-5.0418,2.227,4.4824,112.52
643,ven,7,-5.7549,-1.2941,0.62,-4.5689,-4.2383,-2.1614,108.49
644,ven,7,9.7094,-23.6841,0.3189,6.3138,-26.763,-3.4913,131.8
645,ven,7,9.7094,-23.6841,0.3189,8.3391,-25.4123,-5.6775,137.75
646,ven,7,12.549,-13.7343,-14.7916,9.2612,-9.4635,-9.3343,133.55
647,ven,7,12.549,-13.7343,-14.7916,13.8705,-16.26,-16.4836,128.6
648,ven,7,-5.1478,-12.4208,20.1129,-7.3072,-7.8695,21.0006,158.68
649,ven,7,-5.1478,-12.4208,20.1129,0.3823,-7.4776,14.5135,170.88
650,ven,7,-12.2984,-16.2067,16.7753,-9.3222,-15.4663,17.635,148.36
651,ven,7,-12.2984,-16.2067,16.7753,-19.9071,-17.4963,14.8697,159.89
652,ven,7,18.2888,-23.9808,-5.157,13.4138,-19.3847,-7.804,137.01
653,ven,7,18.2888,-23.9808,-5.157,14.7311,-19.9022,-9.0056,153.35
654,ven,7,9.6323,-25.2242,0.5116,12.3296,-23.0412,4.1352,138.24
655,ven,7,9.6323,-25.2242,0.5116,8.4914,-19.5462,3.3046,135.76
656,ven,7,-29.9135,-21.476,3.3948,-32.8127,-19.8063,0.1732,132.05
657,ven,7,-29.9135,-21.476,3.3948,-26.6735,-19.4859,-2.2182,138.05
658,ven,7,-21.4954,-20.1581,2.1015,-19.6647,-12.4837,1.0376,150.03
659,ven,7,-21.4954,-20.1581,2.1015,-21.4136,-14.1024,3.7864,145.67
660,ven,7,-6.7065,-25.9921,-4.0756,0.3279,-24.401,-2.0113,166.9
661,ven,7,-6.7065,-25.9921,-4.0756,-2.5927,-21.401,-10.573,178.06
662,ven,7,-11.186,-16.3224,-12.5112,-4.9057,-17.9477,-9.1081,141.8
663,ven,7,-11.186,-16.3224,-12.5112,-4.7685,-16.3164,-6.9812,158.12
664,ven,7,-3.5284,-26.5349,1.8788,-12.8702,-20.3557,-0.9992,231.35
665,ven,7,-3.5284,-26.5349,1.8788,-10.3259,-22.7911,7.7307,220.77
666,ven,7,3.8316,-16.4262,17.4543,1.8166,-14.3679,8.1098,177.12
667,ven,7,3.8316,-16.4262,17.4543,5.7153,-18.5885,10.7003,170.21
668,ven,7,-11.5546,-14.6365,-17.8524,-17.2025,-12.7975,-18.3682,130.71
669,ven,7,-11.5546,-14.6365,-17.8524,-7.0371,-17.3862,-16.962,142.07
670,ven,7,-9.7233,-19.7228,-14.3317,-8.5073,-24.4507,-7.2823,159.22
671,ven,7,-9.7233,-19.7228,-14.3317,-1.7373,-19.4955,-15.1822,162.13
672,ven,7,6.4298,-9.9069,-20.4539,6.3355,-8.2007,-20.9778,122.3
673,ven,7,6.4298,-9.9069,-20.4539,4.8267,-16.7996,-17.8317,128.67
674,ven,7,17.0662,-6.2716,-20.1884,15.938,-10.3631,-19.2196,101.04
675,ven,7,17.0662,-6.2716,-20.1884,13.965,-9.6804,-19.2616,93.65
676,ven,7,-11.3819,-1.3652,-8.1805,-15.6463,-4.5634,-6.5775,132.34
677,ven,7,-11.3819,-1.3652,-8.1805,-15.7011,-4.761,-9.5312,137.9
678,ven,7,-11.9984,16.4621,-16.647,-14.7553,10.2761,-16.4372,154.61
679,ven,7,-11.9984,16.4621,-16.647,-12.8179,18.1139,-15.2728,143.58
680,ven,7,-0.0363,-12.0462,-19.8568,-4.1756,-11.9821,-14.7917,139.99
681,ven,7,-0.0363,-12.0462,-19.8568,3.868,-12.4489,-15.6941,137.34
682,ven,7,5.1509,-16.477,-17.3506,3.2685,-14.1475,-18.8112,188.58
683,ven,7,5.1509,-16.477,-17.3506,3.0252,-9.0031,-21.8615,174.55
684,ven,7,-9.0386,-3.4801,18.6707,-5.4559,-3.0796,22.1378,111.53
685,ven,7,-9.0386,-3.4801,18.6707,-10.5878,-3.6427,13.3842,116.56
686,ven,7,1.145,-3.0579,22.0975,2.7398,-3.2926,22.045,90.54
687,ven,7,1.145,-3.0579,22.0975,-1.4752,-4.4512,21.1198,83.48
688,ven,7,16.5613,13.6088,17.6006,17.7821,7.7594,19.2374,117.96
689,ven,7,16.5613,13.6088,17.6006,18.2544,12.6457,17.7529,105.65
690,ven,7,22.594,16.5166,12.1344,23.6608,11.1167,15.0323,151.17
691,ven,7,22.594,16.5166,12.1344,17.8329,19.0299,14.5818,145.48
692,ven,7,-3.8067,16.142,1.7332,-2.8733,22.2973,6.5738,140.92
693,ven,7,-3.8067,16.142,1.7332,-8.2676,12.9267,2.7656,127.02
694,ven,7,-6.8555,7.1603,6.7862,-9.5757,9.6381,12.4309,160.21
695,ven,7,-6.8555,7.1603,6.7862,-2.7148,4.9686,3.5112,147.45
696,ven,7,20.6881,15.4395,15.5271,21.8365,16.8944,10.2772,158.46
697,ven,7,20.6881,15.4395,15.5271,22.8497,8.8909,17.3615,179.17
